,Birth,Birth_rate,Death,Death_rate,Divorce,Divorce_rate,Marriage,Marriage_rate,Natural_growth,Natural_growth_rate
4437,1.464,5.2,1866.0,6.6,619.0,2.2,891.0,3.2,-402.0,-1.4
4438,1.396,5.6,1247.0,5.0,629.0,2.5,886.0,3.6,149.0,0.6
4439,0.335,5.9,281.0,5.0,175.0,3.1,206.0,3.7,54.0,1.0
4440,0.675,4.4,1126.0,7.4,343.0,2.3,465.0,3.1,-451.0,-3.0
4441,0.868,5.6,1331.0,8.5,360.0,2.3,492.0,3.2,-463.0,-3.0
4442,0.308,10.6,124.0,4.2,51.0,1.7,153.0,5.2,184.0,6.3
4443,3.954,4.9,3618.0,4.5,1577.0,1.9,3709.0,4.6,336.0,0.4
4444,0.599,6.2,429.0,4.5,235.0,2.4,327.0,3.4,170.0,1.8
4445,22.999,5.3,23989.0,5.5,9788.0,2.3,17080.0,3.9,-990.0,-0.2
4446,1.225,4.3,1910.0,6.7,493.0,1.7,808.0,2.8,-685.0,-2.4
4447,0.726,5.4,895.0,6.7,264.0,2.0,477.0,3.5,-169.0,-1.3
4448,0.996,5.6,1384.0,7.8,396.0,2.2,605.0,3.4,-388.0,-2.2
4449,0.905,4.4,1212.0,5.9,373.0,1.8,594.0,2.9,-307.0,-1.5
4450,0.632,5.1,658.0,5.3,190.0,1.5,454.0,3.7,-26.0,-0.2
4451,0.597,4.6,1026.0,7.9,251.0,1.9,369.0,2.9,-429.0,-3.3
4452,0.603,4.9,670.0,5.5,202.0,1.6,405.0,3.3,-67.0,-0.5
4453,6.451,5.7,5188.0,4.6,2347.0,2.1,4099.0,3.7,1263.0,1.1
4454,1.017,4.6,1922.0,8.6,468.0,2.1,585.0,2.6,-905.0,-4.1
4455,1.341,4.8,1944.0,6.9,567.0,2.0,808.0,2.9,-603.0,-2.1
4456,1.328,5.4,1324.0,5.4,523.0,2.1,837.0,3.4,4.0,0.0
4457,0.332,5.9,317.0,5.6,133.0,2.4,220.0,3.9,15.0,0.3
4458,0.694,4.6,1216.0,8.0,300.0,2.0,379.0,2.5,-522.0,-3.4
4459,0.833,5.3,1402.0,9.0,284.0,1.8,432.0,2.8,-569.0,-3.7
4460,0.277,9.5,94.0,3.2,48.0,1.6,125.0,4.3,183.0,6.3
4461,3.897,4.8,3701.0,4.6,1264.0,1.6,3238.0,4.0,196.0,0.2
4462,0.548,5.7,426.0,4.4,217.0,2.3,322.0,3.3,122.0,1.3
4463,22.402,5.1,25289.0,5.8,8455.0,1.9,15032.0,3.5,-2887.0,-0.7
4464,1.379,5.0,1840.0,6.7,528.0,1.9,872.0,3.2,-461.0,-1.7
4465,0.715,5.5,904.0,6.9,293.0,2.3,489.0,3.8,-189.0,-1.5
4466,1.004,5.8,1251.0,7.2,448.0,2.6,592.0,3.4,-247.0,-1.4
4467,0.957,4.8,1132.0,5.7,370.0,1.9,554.0,2.8,-175.0,-0.9
4468,0.643,5.4,613.0,5.1,278.0,2.3,530.0,4.4,30.0,0.3
